ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Month
12033683,JD213001,04/05/2020 06:00:00 PM,043XX S DEARBORN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,215,2.0,3.0,38.0,07,1176692.0,1876300.0,2020,04/23/2020 03:44:36 PM,41.815914263,-87.62737163799999,"(41.815914263, -87.627371638)",04
12025071,JD203387,04/05/2020 06:00:00 PM,074XX S SOUTH SHORE DR,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,0,1,334,3.0,7.0,43.0,20,1195740.0,1856661.0,2020,04/12/2020 03:49:10 PM,41.761573042,-87.558150634,"(41.761573042, -87.558150634)",04
12024929,JD203258,04/05/2020 06:00:00 PM,007XX W 32ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,915,9.0,11.0,60.0,07,1172024.0,1883672.0,2020,04/12/2020 03:49:10 PM,41.836247676,-87.644277815,"(41.836247676, -87.644277815)",04
12026636,JD202407,04/05/2020 06:02:00 AM,065XX S EMERALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,0,0,723,7.0,20.0,68.0,08B,1172371.0,1861354.0,2020,04/12/2020 03:49:10 PM,41.774997159,-87.643661686,"(41.774997159, -87.643661686)",04
12024533,JD202754,04/05/2020 06:03:00 PM,117XX S SANGAMON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,1,524,5.0,34.0,53.0,08B,1172099.0,1827030.0,2020,04/12/2020 03:49:10 PM,41.680813264,-87.645664016,"(41.680813264, -87.645664016)",04
12024515,JD202760,04/05/2020 06:04:00 PM,095XX S EUCLID AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,0,1,431,4.0,7.0,51.0,08B,1190848.0,1842046.0,2020,04/12/2020 03:49:10 PM,41.721587708,-87.576551009,"(41.721587708, -87.576551009)",04
25009,JD202406,04/05/2020 06:10:00 AM,015XX S KOMENSKY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,1,1,1012,10.0,24.0,29.0,01A,1149635.0,1892185.0,2020,08/31/2022 04:51:30 PM,41.860071899,-87.726210906,"(41.860071899, -87.726210906)",04
12024538,JD202768,04/05/2020 06:10:00 PM,045XX S OAKENWALD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,0,1,222,2.0,4.0,39.0,08B,1185844.0,1874971.0,2020,04/12/2020 03:49:10 PM,41.812056167,-87.593842673,"(41.812056167, -87.593842673)",04
12024361,JD202624,04/05/2020 06:14:00 AM,006XX E 133RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,0,0,533,5.0,9.0,54.0,08A,1183048.0,1817348.0,2020,04/12/2020 03:49:10 PM,41.653997642,-87.60588458299999,"(41.653997642, -87.605884583)",04
12024536,JD202713,04/05/2020 06:15:00 AM,121XX S FRONT AVE,0560,ASSAULT,SIMPLE,RESIDENCE - YARD (FRONT / BACK),0,0,532,5.0,9.0,53.0,08A,1180492.0,1824702.0,2020,04/12/2020 03:49:10 PM,41.674236956,-87.61501261,"(41.674236956, -87.61501261)",04
12024445,JD202759,04/05/2020 06:16:00 PM,069XX S STEWART AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER (SPECIFY),0,0,732,7.0,6.0,68.0,14,1174826.0,1858851.0,2020,04/12/2020 03:49:10 PM,41.768074265,-87.634736567,"(41.768074265, -87.634736567)",04
12024507,JD202765,04/05/2020 06:20:00 PM,006XX S DEARBORN ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,1,0,123,1.0,4.0,32.0,08B,1176017.0,1897553.0,2020,04/12/2020 03:49:10 PM,41.874249283000005,-87.629208475,"(41.874249283, -87.629208475)",04
12024568,JD202872,04/05/2020 06:25:00 PM,058XX N RIDGE AVE,0460,BATTERY,SIMPLE,NURSING / RETIREMENT HOME,0,0,2013,20.0,48.0,77.0,08B,1165024.0,1939181.0,2020,04/12/2020 03:49:10 PM,41.988719229,-87.66838420799999,"(41.988719229, -87.668384208)",04
12024551,JD202771,04/05/2020 06:25:00 PM,008XX N WESTERN AVE,031A,ROBBERY,ARMED - HANDGUN,GAS STATION,0,0,1212,12.0,1.0,24.0,03,1160255.0,1905486.0,2020,04/12/2020 03:49:10 PM,41.896358373000005,-87.686859824,"(41.896358373, -87.686859824)",04
12024580,JD202814,04/05/2020 06:30:00 PM,014XX W 114TH PL,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE - YARD (FRONT / BACK),1,0,2234,22.0,34.0,75.0,14,1168835.0,1828815.0,2020,04/12/2020 03:49:10 PM,41.685782475,-87.657560664,"(41.685782475, -87.657560664)",04
12024489,JD202781,04/05/2020 06:30:00 PM,004XX W 60TH PL,0560,ASSAULT,SIMPLE,RESIDENCE,0,0,711,7.0,20.0,68.0,08A,1174318.0,1864801.0,2020,04/12/2020 03:49:10 PM,41.78441304,-87.63642187299999,"(41.78441304, -87.636421873)",04
12025794,JD203805,04/05/2020 06:30:00 PM,031XX N RACINE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),0,0,1933,19.0,44.0,6.0,11,1167742.0,1920868.0,2020,04/12/2020 03:49:10 PM,41.938409369,-87.65891729799999,"(41.938409369, -87.658917298)",04
12024474,JD202777,04/05/2020 06:30:00 PM,011XX W MADISON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,0,0,1224,12.0,25.0,28.0,07,1168474.0,1900179.0,2020,04/12/2020 03:49:10 PM,41.881621685,-87.65682676,"(41.881621685, -87.65682676)",04
12024446,JD202779,04/05/2020 06:40:00 PM,066XX S HALSTED ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,0,0,723,7.0,6.0,68.0,06,1172109.0,1860955.0,2020,04/12/2020 03:49:10 PM,41.773908018,-87.64463385299999,"(41.773908018, -87.644633853)",04
12024527,JD202788,04/05/2020 06:40:00 PM,012XX S WESTERN AVE,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,GAS STATION,0,0,1023,10.0,28.0,28.0,04A,1160564.0,1894539.0,2020,04/12/2020 03:49:10 PM,41.866312429,-87.68602818,"(41.866312429, -87.68602818)",04
12024485,JD202800,04/05/2020 06:45:00 PM,045XX W VAN BUREN ST,031A,ROBBERY,ARMED - HANDGUN,STREET,0,0,1131,11.0,28.0,26.0,03,1146186.0,1897638.0,2020,04/12/2020 03:49:10 PM,41.875101834,-87.738732752,"(41.875101834, -87.738732752)",04
12024513,JD202787,04/05/2020 06:47:00 PM,001XX W KINZIE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,SIDEWALK,0,0,1831,18.0,42.0,8.0,03,1174910.0,1902985.0,2020,04/12/2020 03:49:10 PM,41.889179863,-87.633110109,"(41.889179863, -87.633110109)",04
12024523,JD202784,04/05/2020 06:48:00 PM,027XX N HARLEM AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,CONVENIENCE STORE,0,0,2512,25.0,29.0,18.0,03,1127616.0,1917562.0,2020,04/12/2020 03:49:10 PM,41.930108831,-87.806466288,"(41.930108831, -87.806466288)",04
